s
,"hejsa?!??!?"
-1,juni 2019.
0,"  En god ven, teknikker , var i mange år på en stor fabrik. "
-2, “En ting af gangen og den vigtigste først “
-1, ALTSÅ!
-1, At man siger uvaccinerede børn er smittefarlige er lig med total uvidenhed.
-2," Da jeg i 1989 skulle tage stilling til om min datter skulle have vaccinen mod mæslinger , valgte jeg at tage en snak med min læge, da min datter er født med en kronisk sygdom.."
0," De skulle helst have haft mæslinger, fåresyge og røde hunde inden de kom i skole."
-2, Den stikker da helt af igen.
0, Der er tale om 5 smittet i dk.
-1, Det bliver man ikke hvis man er så uorganiseret som denne artikel forsøger at give indtryk af.
0, Det er en rigtig god ide .
0, Det kan man jo så ikke når forældrene kan risikere at SKULLE stå til rådighed for arbejdsmarkedet og dermed mister en eventuel ydelse de har krav på udelukkende fordi staten samtidig forbyder dem at anbringe deres barn i en offentlig pasningsordning... .. 
0," En svær beslutning, der må have baggrund i, hvor stor udbredelsen af mæslinger er i det aktuelle område - beslutningen bør ikke tages af børnehavepædagogerne, men af embedslægerne, der jo har overblik over situationen."
0, EU får det som de vil have det.
-1," EU håber, at det får en afskrækkende effekt på andre medlemslande. "
-1, For så vidt jeg ved kender man kun Thyra Frank fra Plejehjemmet Lotte.
0, Forbyd børn som spiser kød.
2, Glimrende ide.
