Triggerword,ModifierType,Lookahead,ModValue,Extra,full,note,
grin,v,-1,-2,til,til grin,,
fucking,mult,1,1.5,,intensifier,!hit -> base.value,(bør faktisk være negativ i lex nu)
super,mult,1,1.5,,intensifier,!hit -> base.value,
hovedet,v,2,-2,under|armen,hovedet under armen,,
hovedet,v,-1,-2,tabt,tabt hovedet,,
fandme,mult,1,1.5,,intensifier,,
kæmpe,mult,1,1.5,,intensifier,,
kæft,v,-1,-2,hold,hold kæft,,
kæft,v,-2,-2,hold|nu,hold nu kæft,,
mund,v,1,-2,hold,hold mund,,
kæft,v,3,-2,hold|da|helt,hold da helt kæft,,
kæft,v,-1,-2,holde,holde kæft,,
mund,v,-1,-2,holde,holde mund,,
award,v,-1,-1,darwin,darwin award,,
fittest,v,-3,-1,survival|of|the,survival of the fittest,,
røv (ord),mult,1,1.5,,intensifier,!hit -> base.value,
sandheden,v,-1,-2,mangler,mangler sandheden,!hit -> base.value,
sandheden,v,-1,-2,fordrejet,fordrejet sandheden,!hit -> base.value,
son of a bitch,v,-3,-3,,,,
spar,v,1,-2,mig,spar mig,,
stærkeste,v,1,-2,overlever,stærkeste overlever,!hit -> base.value,
pisse (ord),mult,1,1.5,,intensifier,,
taknemmelighed,v,-1,-1,noget,(vis dog) noget taknemmelighed,måske lave 2? en med parantensen også,
tolerante,v,-1,-1,de,de tolerente,ofte brugt som ironisk generalisering af f.eks. venligboer,
true,v,-1,-2,at,at true,!hit -> base.value,
ikke,neg,2,-1,,,,
vildt,mult,1,1.5,,,!hit -> base.value,
drøm,v,1,-2,videre,drøm videre,!hit -> base.value,
drømmer,v,-1,-2,du,du drømmer,!hit -> base.value,
høje,v,-1,-1,for,for høje,,
lidt,v,-1,-1,for,for lidt,,
lille,v,-1,-1,for,for lille,,
meget,v,-1,-2,for,for meget,,
stor,v,-1,-1,for,for stor,,
tynd,v,-1,-1,for,for tynd,,
fungerer,v,1,-2,ikke,fungerer ikke,,
spirit,v,-1,2,team,team spirit,,
sq,mult,1,1.5,,,!hit -> base.value,
sgu,mult,1,1.5,,,!hit -> base.value,
alverden,v,-3,-2,hvor|i|,hvor i alverden,,
alverden,v,-3,-2,hvorfor|i|alverden,hvorfor i alverden,,
utroligt,mult,1,1.5,,,intensifier,
utrolig,mult,1,1.5,,,intensifier,
utroligt,v,1,-1,.,utroligt.,!hit -> base.value,
mega,mult,1,1.5,,,intensifier,
.,repeating,99,-2.0,5,,,
!,repeating,99,-2.0,3,,,
?,repeating,99,-2.0,3,,,
!,special,99,-2.0,,,,
?,special,99,-2.0,,,,
